gRNA,Gene,Plasmid,Rep1,Rep2,Rep3
FTO_CCDS32448.1_ex1_16:53844112-53844135:+_5-1,FTO,253,187,148,311
FTO_CCDS32448.1_ex2_16:53859928-53859951:-_5-2,FTO,200,113,119,76
FTO_CCDS32448.1_ex2_16:53859965-53859988:+_5-3,FTO,262,309,380,172
FTO_CCDS32448.1_ex2_16:53860181-53860204:-_5-4,FTO,372,475,767,222
FTO_CCDS32448.1_ex2_16:53860299-53860322:+_5-5,FTO,352,331,586,352
FTSJ1_CCDS14294.1_ex1_X:48336831-48336854:-_5-1,FTSJ1,1254,2009,1588,1443
FTSJ1_CCDS14294.1_ex2_X:48337041-48337064:+_5-2,FTSJ1,603,753,582,722
FTSJ1_CCDS14294.1_ex3_X:48337466-48337489:-_5-3,FTSJ1,696,1167,829,663
FTSJ1_CCDS14294.1_ex3_X:48337497-48337520:-_5-4,FTSJ1,153,240,148,55
FTSJ1_CCDS14294.1_ex5_X:48339689-48339712:+_5-5,FTSJ1,490,1189,747,384
FTSJ2_CCDS5328.1_ex0_7:2275096-2275119:+_5-1,FTSJ2,558,650,540,389
FTSJ2_CCDS5328.1_ex0_7:2275123-2275146:+_5-2,FTSJ2,377,766,364,478
FTSJ2_CCDS5328.1_ex1_7:2279114-2279137:+_5-3,FTSJ2,504,600,711,433
FTSJ2_CCDS5328.1_ex1_7:2279127-2279150:+_5-4,FTSJ2,415,484,595,399
FTSJ2_CCDS5328.1_ex1_7:2279172-2279195:+_5-5,FTSJ2,405,440,399,397
FTSJ3_CCDS11644.1_ex8_17:61901218-61901241:-_5-1,FTSJ3,425,130,61,192
FTSJ3_CCDS11644.1_ex10_17:61901755-61901778:-_5-2,FTSJ3,265,5,0,91
FTSJ3_CCDS11644.1_ex15_17:61902917-61902940:-_5-3,FTSJ3,237,456,224,270
FTSJ3_CCDS11644.1_ex17_17:61903616-61903639:+_5-4,FTSJ3,238,0,0,0
FTSJ3_CCDS11644.1_ex18_17:61903914-61903937:+_5-5,FTSJ3,349,21,13,0
FUBP1_CCDS683.1_ex8_1:78429824-78429847:-_5-1,FUBP1,254,81,57,306
FUBP1_CCDS683.1_ex9_1:78429937-78429960:-_5-2,FUBP1,427,112,93,103
FUBP1_CCDS683.1_ex10_1:78430388-78430411:-_5-3,FUBP1,202,107,61,99
FUBP1_CCDS683.1_ex12_1:78430838-78430861:-_5-4,FUBP1,422,421,381,324
FUBP1_CCDS683.1_ex14_1:78432597-78432620:-_5-5,FUBP1,289,109,178,141
FUBP3_CCDS43893.1_ex5_9:133489697-133489720:-_5-1,FUBP3,154,357,254,246
FUBP3_CCDS43893.1_ex6_9:133491772-133491795:+_5-2,FUBP3,506,1389,884,1013
FUBP3_CCDS43893.1_ex6_9:133491843-133491866:+_5-3,FUBP3,656,1404,1176,1496
FUBP3_CCDS43893.1_ex8_9:133495781-133495804:-_5-4,FUBP3,458,722,942,848
FUBP3_CCDS43893.1_ex8_9:133495805-133495828:+_5-5,FUBP3,287,652,474,347
FUCA2_CCDS5200.1_ex4_6:143825257-143825280:+_5-1,FUCA2,220,274,209,117
FUCA2_CCDS5200.1_ex4_6:143825351-143825374:-_5-2,FUCA2,277,258,350,335
FUCA2_CCDS5200.1_ex6_6:143832549-143832572:+_5-3,FUCA2,794,784,536,809
FUCA2_CCDS5200.1_ex6_6:143832617-143832640:+_5-4,FUCA2,425,1136,486,480
FUCA2_CCDS5200.1_ex6_6:143832656-143832679:-_5-5,FUCA2,826,1376,1703,1461
FUK_CCDS10891.2_ex2_16:70499033-70499056:+_5-1,FUK,578,947,1062,626
FUK_CCDS10891.2_ex3_16:70500143-70500166:+_5-2,FUK,775,1473,1121,1215
FUK_CCDS10891.2_ex5_16:70501333-70501356:-_5-3,FUK,850,819,561,785
FUK_CCDS10891.2_ex8_16:70503203-70503226:+_5-4,FUK,413,760,611,382
FUK_CCDS10891.2_ex11_16:70505084-70505107:+_5-5,FUK,533,898,345,527
FUOM_CCDS44499.1_ex2_10:135170169-135170192:+_5-1,FUOM,591,932,529,963
FUOM_CCDS44499.1_ex2_10:135170197-135170220:+_5-2,FUOM,1026,1534,1498,1352
FUOM_CCDS44499.1_ex2_10:135170226-135170249:+_5-3,FUOM,559,1100,1115,880
FUOM_CCDS44499.1_ex4_10:135170699-135170722:+_5-4,FUOM,734,1104,1307,1176
FUOM_CCDS44499.1_ex4_10:135170735-135170758:-_5-5,FUOM,383,573,449,338
FUT1_CCDS12733.1_ex0_19:49254072-49254095:-_5-1,FUT1,352,626,641,549
FUT1_CCDS12733.1_ex0_19:49254153-49254176:+_5-2,FUT1,369,329,207,449
FUT1_CCDS12733.1_ex0_19:49254257-49254280:-_5-3,FUT1,248,322,136,392
FUT1_CCDS12733.1_ex0_19:49254350-49254373:-_5-4,FUT1,579,547,524,437
FUT1_CCDS12733.1_ex0_19:49254405-49254428:+_5-5,FUT1,610,630,324,510
FUT10_CCDS6088.1_ex1_8:33247011-33247034:-_5-1,FUT10,440,671,698,501
FUT10_CCDS6088.1_ex1_8:33247033-33247056:+_5-2,FUT10,390,575,593,865
FUT10_CCDS6088.1_ex1_8:33247140-33247163:+_5-3,FUT10,450,554,584,477
FUT10_CCDS6088.1_ex1_8:33247260-33247283:-_5-4,FUT10,248,447,435,469
FUT10_CCDS6088.1_ex2_8:33310745-33310768:+_5-5,FUT10,339,368,445,517
FUT11_CCDS60558.1_ex0_10:75532609-75532632:-_5-1,FUT11,182,190,102,137
FUT11_CCDS60558.1_ex0_10:75532644-75532667:-_5-2,FUT11,473,328,584,546
FUT11_CCDS60558.1_ex0_10:75532676-75532699:-_5-3,FUT11,929,989,779,1027
FUT11_CCDS60558.1_ex0_10:75532759-75532782:-_5-4,FUT11,726,666,1092,611
FUT11_CCDS60558.1_ex1_10:75532939-75532962:+_5-5,FUT11,110,166,45,102
FUT2_CCDS33069.1_ex0_19:49206322-49206345:-_5-1,FUT2,351,802,565,414
FUT2_CCDS33069.1_ex0_19:49206350-49206373:+_5-2,FUT2,278,377,271,378
FUT2_CCDS33069.1_ex0_19:49206386-49206409:-_5-3,FUT2,878,975,1189,828
FUT2_CCDS33069.1_ex0_19:49206409-49206432:+_5-4,FUT2,741,1697,913,1283
FUT2_CCDS33069.1_ex0_19:49206617-49206640:+_5-5,FUT2,639,659,695,452
FUT4_CCDS8301.1_ex0_11:94277682-94277705:+_5-1,FUT4,640,901,880,452
FUT4_CCDS8301.1_ex0_11:94277771-94277794:-_5-2,FUT4,595,1085,607,624
FUT4_CCDS8301.1_ex0_11:94277845-94277868:+_5-3,FUT4,671,1197,645,652
FUT4_CCDS8301.1_ex0_11:94277887-94277910:-_5-4,FUT4,277,134,63,51
FUT4_CCDS8301.1_ex0_11:94277970-94277993:+_5-5,FUT4,494,659,537,683
FUT6_CCDS12152.1_ex0_19:5831948-5831971:+_5-1,FUT6,599,798,892,634
FUT6_CCDS12152.1_ex0_19:5831962-5831985:-_5-2,FUT6,598,845,525,949
FUT6_CCDS12152.1_ex0_19:5831980-5832003:-_5-3,FUT6,515,901,840,784
FUT6_CCDS12152.1_ex0_19:5832244-5832267:-_5-4,FUT6,474,625,644,620
FUT6_CCDS12152.1_ex0_19:5832435-5832458:+_5-5,FUT6,178,200,87,138
FUT9_CCDS5033.1_ex0_6:96651244-96651267:-_5-1,FUT9,328,582,541,526
FUT9_CCDS5033.1_ex0_6:96651383-96651406:+_5-2,FUT9,506,491,432,488
FUT9_CCDS5033.1_ex0_6:96651489-96651512:-_5-3,FUT9,376,568,602,495
FUT9_CCDS5033.1_ex0_6:96651507-96651530:-_5-4,FUT9,134,251,296,192
FUT9_CCDS5033.1_ex0_6:96651529-96651552:-_5-5,FUT9,113,110,70,142
FXR1_CCDS3238.1_ex5_3:180666580-180666603:+_5-1,FXR1,154,339,57,167
FXR1_CCDS3238.1_ex7_3:180669147-180669170:-_5-2,FXR1,554,1147,727,581
FXR1_CCDS3238.1_ex7_3:180669171-180669194:+_5-3,FXR1,365,646,343,404
FXR1_CCDS3238.1_ex7_3:180669196-180669219:-_5-4,FXR1,519,357,709,962
FXR1_CCDS3238.1_ex7_3:180669234-180669257:+_5-5,FXR1,210,240,349,207
FXR2_CCDS45604.1_ex9_17:7499144-7499167:+_5-1,FXR2,354,490,530,503
FXR2_CCDS45604.1_ex12_17:7507122-7507145:-_5-2,FXR2,677,1061,1184,1541
FXR2_CCDS45604.1_ex12_17:7507147-7507170:+_5-3,FXR2,690,971,813,457
FXR2_CCDS45604.1_ex14_17:7508984-7509007:+_5-4,FXR2,143,30,91,18
FXR2_CCDS45604.1_ex14_17:7509011-7509034:+_5-5,FXR2,222,113,318,361
FXYD2_CCDS8385.1_ex2_11:117693105-117693128:+_4-1,FXYD2,624,1050,1018,1471
FXYD2_CCDS8385.1_ex2_11:117693138-117693161:-_4-2,FXYD2,820,1371,878,1001
FXYD2_CCDS8385.1_ex2_11:117693155-117693178:-_4-3,FXYD2,658,1012,475,614
FXYD2_CCDS8385.1_ex2_11:117693171-117693194:-_4-4,FXYD2,354,345,415,226
FXYD4_CCDS7203.1_ex2_10:43870075-43870098:-_5-1,FXYD4,150,171,134,353
FXYD4_CCDS7203.1_ex3_10:43870948-43870971:+_5-2,FXYD4,847,1388,1692,1335
FXYD4_CCDS7203.1_ex3_10:43870964-43870987:+_5-3,FXYD4,598,1056,702,813
FXYD4_CCDS7203.1_ex3_10:43870989-43871012:+_5-4,FXYD4,578,928,933,536
FXYD4_CCDS7203.1_ex4_10:43871137-43871160:-_5-5,FXYD4,761,984,525,925
FXYD6-FXYD2_CCDS58184.1_ex3_11:117711032-117711055:-_1-1,FXYD6-FXYD2,409,471,647,485
FXYD7_CCDS12446.1_ex2_19:35642169-35642192:+_5-1,FXYD7,442,259,440,229
FXYD7_CCDS12446.1_ex2_19:35642191-35642214:+_5-2,FXYD7,696,843,726,1011
FXYD7_CCDS12446.1_ex2_19:35642205-35642228:-_5-3,FXYD7,438,154,253,100
FXYD7_CCDS12446.1_ex3_19:35642328-35642351:+_5-4,FXYD7,241,283,224,213
FXYD7_CCDS12446.1_ex3_19:35642354-35642377:+_5-5,FXYD7,495,594,551,749
FYCO1_CCDS2734.1_ex10_3:46008800-46008823:+_5-1,FYCO1,707,493,411,720
FYCO1_CCDS2734.1_ex10_3:46009012-46009035:-_5-2,FYCO1,316,457,286,364
FYCO1_CCDS2734.1_ex10_3:46010137-46010160:-_5-3,FYCO1,280,448,453,345
FYCO1_CCDS2734.1_ex11_3:46011204-46011227:+_5-4,FYCO1,378,508,485,420
FYCO1_CCDS2734.1_ex12_3:46014615-46014638:-_5-5,FYCO1,620,598,727,505
FYTTD1_CCDS3329.1_ex1_3:197483387-197483410:+_5-1,FYTTD1,345,386,374,998
FYTTD1_CCDS3329.1_ex2_3:197495317-197495340:+_5-2,FYTTD1,211,640,176,110
FYTTD1_CCDS3329.1_ex2_3:197495386-197495409:+_5-3,FYTTD1,116,283,158,137
FYTTD1_CCDS3329.1_ex2_3:197495436-197495459:+_5-4,FYTTD1,348,673,711,530
FYTTD1_CCDS3329.1_ex3_3:197497074-197497097:-_5-5,FYTTD1,304,450,391,261
FZD1_CCDS5620.1_ex0_7:90894337-90894360:-_5-1,FZD1,486,603,885,234
FZD1_CCDS5620.1_ex0_7:90894468-90894491:+_5-2,FZD1,219,429,191,511
FZD1_CCDS5620.1_ex0_7:90894490-90894513:+_5-3,FZD1,476,752,525,889
FZD1_CCDS5620.1_ex0_7:90894991-90895014:-_5-4,FZD1,784,1008,730,544
FZD1_CCDS5620.1_ex0_7:90895089-90895112:-_5-5,FZD1,924,696,798,1234
FZD10_CCDS9267.1_ex0_12:130647594-130647617:+_5-1,FZD10,369,622,562,521
FZD10_CCDS9267.1_ex0_12:130647825-130647848:-_5-2,FZD10,522,463,419,599
FZD10_CCDS9267.1_ex0_12:130648021-130648044:+_5-3,FZD10,473,603,474,330
FZD10_CCDS9267.1_ex0_12:130648068-130648091:+_5-4,FZD10,574,1210,1109,649
FZD10_CCDS9267.1_ex0_12:130648406-130648429:-_5-5,FZD10,1,0,0,0
FZD4_CCDS8279.1_ex0_11:86663052-86663075:+_5-1,FZD4,117,114,69,49
FZD4_CCDS8279.1_ex0_11:86663148-86663171:-_5-2,FZD4,644,879,561,733
FZD4_CCDS8279.1_ex0_11:86663397-86663420:-_5-3,FZD4,622,807,1108,855
FZD4_CCDS8279.1_ex0_11:86663430-86663453:+_5-4,FZD4,3,0,0,0
FZD4_CCDS8279.1_ex1_11:86665861-86665884:-_5-5,FZD4,411,739,443,483
FZD6_CCDS55268.1_ex1_8:104330919-104330942:-_5-1,FZD6,187,223,76,136
FZD6_CCDS55268.1_ex1_8:104330968-104330991:+_5-2,FZD6,444,479,772,918
FZD6_CCDS55268.1_ex2_8:104336826-104336849:+_5-3,FZD6,265,341,209,249
FZD6_CCDS55268.1_ex2_8:104337152-104337175:+_5-4,FZD6,177,135,234,337
FZD6_CCDS55268.1_ex2_8:104337336-104337359:-_5-5,FZD6,190,380,331,448
FZD7_CCDS2351.1_ex0_2:202899466-202899489:+_5-1,FZD7,159,279,288,131
FZD7_CCDS2351.1_ex0_2:202899859-202899882:+_5-2,FZD7,940,917,783,1287
FZD7_CCDS2351.1_ex0_2:202899906-202899929:-_5-3,FZD7,207,461,165,317
FZD7_CCDS2351.1_ex0_2:202900069-202900092:+_5-4,FZD7,499,674,649,506
FZD7_CCDS2351.1_ex0_2:202900166-202900189:-_5-5,FZD7,0,0,0,0
FZR1_CCDS12109.1_ex1_19:3525974-3525997:+_5-1,FZR1,282,455,73,238
FZR1_CCDS12109.1_ex2_19:3526153-3526176:+_5-2,FZR1,503,455,517,830
FZR1_CCDS12109.1_ex3_19:3526355-3526378:-_5-3,FZR1,873,977,765,943
FZR1_CCDS12109.1_ex7_19:3531797-3531820:-_5-4,FZR1,947,1088,1188,1251
FZR1_CCDS12109.1_ex8_19:3531941-3531964:-_5-5,FZR1,747,567,720,582
G0S2_CCDS1488.1_ex0_1:209849129-209849152:-_5-1,G0S2,641,1096,896,1158
G0S2_CCDS1488.1_ex0_1:209849151-209849174:-_5-2,G0S2,529,844,1334,881
G0S2_CCDS1488.1_ex0_1:209849174-209849197:-_5-3,G0S2,832,2368,1692,1602
G0S2_CCDS1488.1_ex0_1:209849187-209849210:+_5-4,G0S2,562,378,819,581
G0S2_CCDS1488.1_ex0_1:209849226-209849249:+_5-5,G0S2,521,954,610,904
G2E3_CCDS9638.1_ex2_14:31058668-31058691:+_5-1,G2E3,96,83,52,102
G2E3_CCDS9638.1_ex3_14:31061632-31061655:-_5-2,G2E3,193,199,352,365
G2E3_CCDS9638.1_ex4_14:31062803-31062826:-_5-3,G2E3,124,72,208,217
G2E3_CCDS9638.1_ex6_14:31067758-31067781:+_5-4,G2E3,153,80,147,201
G2E3_CCDS9638.1_ex8_14:31071237-31071260:-_5-5,G2E3,15,27,2,199
G3BP1_CCDS4319.1_ex1_5:151169911-151169934:+_5-1,G3BP1,12,0,81,0
G3BP1_CCDS4319.1_ex2_5:151170483-151170506:-_5-2,G3BP1,804,288,698,488
G3BP1_CCDS4319.1_ex2_5:151170515-151170538:+_5-3,G3BP1,673,598,522,616
G3BP1_CCDS4319.1_ex5_5:151176775-151176798:+_5-4,G3BP1,66,63,71,0
G3BP1_CCDS4319.1_ex5_5:151176896-151176919:-_5-5,G3BP1,84,18,136,50
G6PC_CCDS11446.1_ex0_17:41052990-41053013:+_5-1,G6PC,430,637,311,635
G6PC_CCDS11446.1_ex0_17:41053034-41053057:-_5-2,G6PC,226,295,157,653
G6PC_CCDS11446.1_ex0_17:41053108-41053131:-_5-3,G6PC,51,66,21,30
G6PC_CCDS11446.1_ex1_17:41055966-41055989:-_5-4,G6PC,119,141,254,44
G6PC_CCDS11446.1_ex1_17:41056009-41056032:-_5-5,G6PC,566,785,556,849
G6PC3_CCDS11476.1_ex2_17:42152051-42152074:-_5-1,G6PC3,342,826,517,362
G6PC3_CCDS11476.1_ex2_17:42152084-42152107:-_5-2,G6PC3,580,786,985,756
G6PC3_CCDS11476.1_ex2_17:42152131-42152154:-_5-3,G6PC3,475,190,127,289
G6PC3_CCDS11476.1_ex3_17:42152327-42152350:+_5-4,G6PC3,610,1291,897,594
G6PC3_CCDS11476.1_ex3_17:42152378-42152401:-_5-5,G6PC3,307,562,265,323
GAA_CCDS32760.1_ex1_17:78079555-78079578:+_5-1,GAA,756,1063,970,566
GAA_CCDS32760.1_ex3_17:78081599-78081622:-_5-2,GAA,350,577,134,251
GAA_CCDS32760.1_ex5_17:78082290-78082313:+_5-3,GAA,648,750,806,729
GAA_CCDS32760.1_ex6_17:78082605-78082628:+_5-4,GAA,670,607,616,499
GAA_CCDS32760.1_ex7_17:78083787-78083810:+_5-5,GAA,299,289,169,229
GABARAP_CCDS11092.1_ex1_17:7144728-7144751:-_5-1,GABARAP,822,1011,779,1395
GABARAP_CCDS11092.1_ex2_17:7144919-7144942:+_5-2,GABARAP,234,387,412,190
GABARAP_CCDS11092.1_ex2_17:7144955-7144978:-_5-3,GABARAP,335,362,118,48
GABARAP_CCDS11092.1_ex2_17:7144982-7145005:-_5-4,GABARAP,2,0,1,0
GABARAP_CCDS11092.1_ex3_17:7145551-7145574:+_5-5,GABARAP,704,1353,587,633
GABARAPL2_CCDS10921.1_ex2_16:75601972-75601995:+_5-1,GABARAPL2,57,120,9,81
GABARAPL2_CCDS10921.1_ex2_16:75601993-75602016:+_5-2,GABARAPL2,297,302,320,283
GABARAPL2_CCDS10921.1_ex2_16:75602007-75602030:+_5-3,GABARAPL2,604,659,884,993
GABARAPL2_CCDS10921.1_ex2_16:75602047-75602070:-_5-4,GABARAPL2,260,199,264,235
GABARAPL2_CCDS10921.1_ex2_16:75602074-75602097:-_5-5,GABARAPL2,186,219,286,188
GABBR1_CCDS4663.1_ex13_6:29589569-29589592:+_5-1,GABBR1,445,488,489,419
GABBR1_CCDS4663.1_ex15_6:29591139-29591162:+_5-2,GABBR1,500,721,441,767
GABBR1_CCDS4663.1_ex15_6:29591204-29591227:+_5-3,GABBR1,759,687,1125,1091
GABBR1_CCDS4663.1_ex17_6:29595310-29595333:-_5-4,GABBR1,572,811,728,861
GABBR1_CCDS4663.1_ex17_6:29595400-29595423:-_5-5,GABBR1,383,584,552,569
GABBR2_CCDS6736.1_ex12_9:101216312-101216335:-_5-1,GABBR2,610,792,696,695
GABBR2_CCDS6736.1_ex12_9:101216414-101216437:+_5-2,GABBR2,539,818,603,1042
GABBR2_CCDS6736.1_ex16_9:101304188-101304211:-_5-3,GABBR2,684,774,386,544
GABBR2_CCDS6736.1_ex16_9:101304254-101304277:+_5-4,GABBR2,71,89,194,69
GABBR2_CCDS6736.1_ex16_9:101304286-101304309:+_5-5,GABBR2,521,553,309,735
GABPA_CCDS13575.1_ex1_21:27117559-27117582:-_5-1,GABPA,501,155,157,92
GABPA_CCDS13575.1_ex2_21:27121409-27121432:+_5-2,GABPA,5,0,0,14
GABPA_CCDS13575.1_ex3_21:27124523-27124546:+_5-3,GABPA,241,147,13,109
GABPA_CCDS13575.1_ex4_21:27130311-27130334:+_5-4,GABPA,181,83,57,53
GABPA_CCDS13575.1_ex4_21:27130404-27130427:-_5-5,GABPA,380,321,162,173
GABPB1_CCDS10135.1_ex4_15:50593548-50593571:+_5-1,GABPB1,321,320,148,161
GABPB1_CCDS10135.1_ex5_15:50595250-50595273:+_5-2,GABPB1,776,517,156,311
GABPB1_CCDS10135.1_ex6_15:50596173-50596196:-_5-3,GABPB1,357,170,200,329
GABPB1_CCDS10135.1_ex6_15:50596272-50596295:-_5-4,GABPB1,432,125,133,193
GABPB1_CCDS10135.1_ex7_15:50601881-50601904:+_5-5,GABPB1,38,87,54,144
GABRA2_CCDS3471.1_ex3_4:46307583-46307606:-_5-1,GABRA2,81,103,218,90
GABRA2_CCDS3471.1_ex3_4:46307608-46307631:+_5-2,GABRA2,693,1171,1040,966
GABRA2_CCDS3471.1_ex3_4:46307665-46307688:-_5-3,GABRA2,216,314,732,125
GABRA2_CCDS3471.1_ex5_4:46314533-46314556:-_5-4,GABRA2,272,286,352,305
GABRA2_CCDS3471.1_ex5_4:46314636-46314659:+_5-5,GABRA2,128,250,99,94
GABRA4_CCDS3473.1_ex3_4:46976349-46976372:-_5-1,GABRA4,114,166,231,69
GABRA4_CCDS3473.1_ex5_4:46979536-46979559:-_5-2,GABRA4,73,14,76,4
GABRA4_CCDS3473.1_ex7_4:46994834-46994857:+_5-3,GABRA4,274,482,303,267
GABRA4_CCDS3473.1_ex7_4:46994863-46994886:-_5-4,GABRA4,352,467,341,349
GABRA4_CCDS3473.1_ex7_4:46994892-46994915:-_5-5,GABRA4,1425,2057,1943,1546
GABRA6_CCDS4356.1_ex1_5:161113283-161113306:+_5-1,GABRA6,842,1093,1168,1303
GABRA6_CCDS4356.1_ex1_5:161113318-161113341:+_5-2,GABRA6,535,1057,463,698
GABRA6_CCDS4356.1_ex3_5:161115944-161115967:+_5-3,GABRA6,6,0,0,0
GABRA6_CCDS4356.1_ex3_5:161116158-161116181:+_5-4,GABRA6,59,56,68,13
GABRA6_CCDS4356.1_ex5_5:161116685-161116708:-_5-5,GABRA6,144,188,138,315
GABRB1_CCDS3474.1_ex1_4:47034009-47034032:-_5-1,GABRB1,491,740,495,319
GABRB1_CCDS3474.1_ex2_4:47034436-47034459:-_5-2,GABRB1,536,616,997,506
GABRB1_CCDS3474.1_ex3_4:47163335-47163358:+_5-3,GABRB1,317,494,601,551
GABRB1_CCDS3474.1_ex4_4:47322208-47322231:-_5-4,GABRB1,375,574,312,391
GABRB1_CCDS3474.1_ex5_4:47405434-47405457:+_5-5,GABRB1,41,10,263,19
GABRB3_CCDS10018.1_ex2_15:26812863-26812886:+_5-1,GABRB3,337,386,401,262
GABRB3_CCDS10018.1_ex3_15:26825492-26825515:-_5-2,GABRB3,651,743,770,433
GABRB3_CCDS10018.1_ex3_15:26825560-26825583:-_5-3,GABRB3,411,581,285,277
GABRB3_CCDS10018.1_ex3_15:26825588-26825611:-_5-4,GABRB3,271,332,307,296
GABRB3_CCDS10018.1_ex5_15:26866467-26866490:+_5-5,GABRB3,350,693,328,673
GABRG1_CCDS3470.1_ex3_4:46060575-46060598:+_5-1,GABRG1,533,1023,866,813
GABRG1_CCDS3470.1_ex5_4:46067547-46067570:+_5-2,GABRG1,111,85,83,55
GABRG1_CCDS3470.1_ex7_4:46099285-46099308:-_5-3,GABRG1,80,191,288,201
GABRG1_CCDS3470.1_ex7_4:46099310-46099333:-_5-4,GABRG1,24,11,14,7
GABRG1_CCDS3470.1_ex8_4:46125822-46125845:+_5-5,GABRG1,674,1084,880,1168
GABRG3_CCDS45195.1_ex1_15:27222228-27222251:-_5-1,GABRG3,181,34,86,83
GABRG3_CCDS45195.1_ex2_15:27271905-27271928:-_5-2,GABRG3,186,466,63,167
GABRG3_CCDS45195.1_ex3_15:27572002-27572025:-_5-3,GABRG3,425,739,814,794
GABRG3_CCDS45195.1_ex3_15:27572029-27572052:+_5-4,GABRG3,264,347,408,337
GABRG3_CCDS45195.1_ex3_15:27572083-27572106:+_5-5,GABRG3,75,98,20,21
GABRP_CCDS4375.1_ex1_5:170216239-170216262:-_5-1,GABRP,189,129,318,125
GABRP_CCDS4375.1_ex3_5:170222224-170222247:+_5-2,GABRP,762,728,657,461
GABRP_CCDS4375.1_ex3_5:170222414-170222437:-_5-3,GABRP,380,286,478,463
GABRP_CCDS4375.1_ex5_5:170232762-170232785:+_5-4,GABRP,590,527,811,937
GABRP_CCDS4375.1_ex5_5:170232827-170232850:-_5-5,GABRP,488,815,791,947
GABRR1_CCDS5019.2_ex3_6:89895058-89895081:+_5-1,GABRR1,252,287,387,131
GABRR1_CCDS5019.2_ex4_6:89899900-89899923:+_5-2,GABRR1,382,242,388,600
GABRR1_CCDS5019.2_ex4_6:89899949-89899972:+_5-3,GABRR1,172,351,122,315
GABRR1_CCDS5019.2_ex5_6:89907791-89907814:+_5-4,GABRR1,281,552,571,388
GABRR1_CCDS5019.2_ex5_6:89907866-89907889:-_5-5,GABRR1,655,811,1255,1024
GABRR2_CCDS5020.3_ex4_6:89977738-89977761:+_5-1,GABRR2,460,925,735,691
GABRR2_CCDS5020.3_ex5_6:89978735-89978758:+_5-2,GABRR2,385,305,384,402
GABRR2_CCDS5020.3_ex5_6:89978853-89978876:-_5-3,GABRR2,561,847,743,769
GABRR2_CCDS5020.3_ex5_6:89978910-89978933:+_5-4,GABRR2,1071,1195,897,1011
GABRR2_CCDS5020.3_ex7_6:90009472-90009495:-_5-5,GABRR2,332,498,453,316
GAD1_CCDS2239.1_ex1_2:171678597-171678620:+_5-1,GAD1,698,619,562,725
GAD1_CCDS2239.1_ex1_2:171678621-171678644:-_5-2,GAD1,736,888,531,967
GAD1_CCDS2239.1_ex2_2:171686024-171686047:-_5-3,GAD1,340,602,399,330
GAD1_CCDS2239.1_ex2_2:171686102-171686125:-_5-4,GAD1,1054,541,767,650
GAD1_CCDS2239.1_ex3_2:171687463-171687486:+_5-5,GAD1,399,547,807,551
GAD2_CCDS7149.1_ex1_10:26506561-26506584:+_5-1,GAD2,591,937,753,1119
GAD2_CCDS7149.1_ex2_10:26506770-26506793:-_5-2,GAD2,674,1023,625,821
GAD2_CCDS7149.1_ex3_10:26507977-26508000:+_5-3,GAD2,249,696,424,366
GAD2_CCDS7149.1_ex6_10:26518614-26518637:-_5-4,GAD2,255,247,161,167
GAD2_CCDS7149.1_ex6_10:26518689-26518712:-_5-5,GAD2,223,454,620,210
GADD45B_CCDS32868.1_ex1_19:2476575-2476598:+_5-1,GADD45B,456,493,556,439
GADD45B_CCDS32868.1_ex1_19:2476589-2476612:+_5-2,GADD45B,409,620,651,483
GADD45B_CCDS32868.1_ex1_19:2476612-2476635:-_5-3,GADD45B,149,90,111,487
GADD45B_CCDS32868.1_ex2_19:2477030-2477053:-_5-4,GADD45B,764,1288,1320,1037
GADD45B_CCDS32868.1_ex2_19:2477050-2477073:-_5-5,GADD45B,536,997,585,744
GADD45G_CCDS6686.1_ex1_9:92220380-92220403:+_5-1,GADD45G,474,969,762,459
GADD45G_CCDS6686.1_ex1_9:92220414-92220437:-_5-2,GADD45G,530,598,473,522
GADD45G_CCDS6686.1_ex2_9:92220584-92220607:-_5-3,GADD45G,333,363,471,443
GADD45G_CCDS6686.1_ex2_9:92220653-92220676:-_5-4,GADD45G,206,607,162,172
GADD45G_CCDS6686.1_ex2_9:92220690-92220713:+_5-5,GADD45G,760,502,640,906
GADL1_CCDS2649.2_ex10_3:30892325-30892348:-_5-1,GADL1,72,132,79,23
GADL1_CCDS2649.2_ex11_3:30896175-30896198:+_5-2,GADL1,305,616,503,649
GADL1_CCDS2649.2_ex11_3:30896210-30896233:+_5-3,GADL1,611,775,662,679
GADL1_CCDS2649.2_ex12_3:30898541-30898564:+_5-4,GADL1,268,238,357,222
GADL1_CCDS2649.2_ex13_3:30903122-30903145:-_5-5,GADL1,65,179,90,283
GAK_CCDS3340.1_ex15_4:877096-877119:+_5-1,GAK,568,262,278,169
GAK_CCDS3340.1_ex17_4:882626-882649:+_5-2,GAK,333,203,196,329
GAK_CCDS3340.1_ex17_4:882724-882747:-_5-3,GAK,557,295,447,340
GAK_CCDS3340.1_ex20_4:887681-887704:+_5-4,GAK,942,398,425,318
GAK_CCDS3340.1_ex23_4:898503-898526:+_5-5,GAK,268,51,51,205
GAL_CCDS8183.1_ex1_11:68453055-68453078:+_5-1,GAL,149,403,200,148
GAL_CCDS8183.1_ex1_11:68453083-68453106:-_5-2,GAL,655,837,646,682
GAL_CCDS8183.1_ex2_11:68455478-68455501:+_5-3,GAL,7,2,6,0
